year,n,iat_d2_mean,iat_d2_sd,iat_d6_mean,explicit_thermo_mean,explicit_thermo_n,age_mean,iat_d2_se
2009,378,0.2999341253693262,0.4248343424302267,0.30096990953545844,-0.6761904761904762,420,24.7359413202934,0.021851120738642156
2010,352,0.3142003899038672,0.4227694409376906,0.3129478645830179,-0.5913978494623656,372,24.3342175066313,0.02253368691529414
2011,1367,0.3135001460538153,0.40235486943287113,0.308412645298122,-0.646044021415824,1681,21.46564417177914,0.01088240800183119
2012,1206,0.307464611351037,0.4028813331088618,0.30163502878373466,-0.8401102687801516,1451,22.691400832177532,0.0116012154309624
2013,790,0.32031926612481004,0.41396128475208727,0.31866839142678405,-0.7221006564551422,914,23.41593886462882,0.014728081559465808
2014,953,0.28351551151673715,0.41356421696550527,0.27929905436883057,-0.8562691131498471,1308,23.089922480620157,0.01339665905455612
2015,369,0.2444647863779214,0.41288504437237455,0.24203587455102388,-0.5845410628019324,414,25.554430379746837,0.021493936869059257
2016,404,0.2619311287190242,0.43075561208626484,0.260359084779783,-0.386986301369863,584,28.48034188034188,0.021430892695875052
2017,371,0.24669705262890476,0.42536522944073885,0.25054132797153883,-0.185546875,512,26.96831683168317,0.022083862362949416
2018,265,0.29791565542289805,0.4199111281082263,0.3003106029673538,-0.5610561056105611,303,28.124137931034483,0.025794935550111912
2019,399,0.30308529796870204,0.43700207140732866,0.3045454137109529,-0.18518518518518517,459,26.622171945701357,0.021877467517933506
