,term,estimate,std_error,t,p,ci_low,ci_high,n,r_squared,adj_r_squared,model
0,Intercept,0.31290287326332006,0.006620609467014652,47.26194390747131,0.0,0.29992647870797134,0.32587926781866877,5488,0.00639591863997635,0.00567105700848991,"IAT predicted by explicit attitude, age, year, sex"
1,explicit_thermo_diff,0.010123088632583915,0.0018077978300857394,5.599679601398681,2.1474834138422394e-08,0.006579804885615865,0.013666372379551964,5488,0.00639591863997635,0.00567105700848991,"IAT predicted by explicit attitude, age, year, sex"
2,age_centered,-0.0007453546119931451,0.0008825771694516926,-0.8445206128051125,0.3983785498364669,-0.002475205864118463,0.0009844966401321724,5488,0.00639591863997635,0.00567105700848991,"IAT predicted by explicit attitude, age, year, sex"
3,year_centered,-0.003479238608221639,0.0022069874618279393,-1.576465054015285,0.11491866628277374,-0.007804934033404399,0.0008464568169611218,5488,0.00639591863997635,0.00567105700848991,"IAT predicted by explicit attitude, age, year, sex"
4,sex_male,-0.008875522192049703,0.013900859704750346,-0.6384872864385982,0.523156527412474,-0.03612120721336038,0.018370162829260975,5488,0.00639591863997635,0.00567105700848991,"IAT predicted by explicit attitude, age, year, sex"
5,Intercept,0.30430820052324076,0.048274247004576235,6.30373790179251,2.9055167298206334e-10,0.20969067639427136,0.39892572465221016,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
6,controlother,-0.0024630540409968753,0.012732252319122485,-0.19344998663729204,0.8466065710196883,-0.027418268586476946,0.022492160504483195,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
7,controlyou,0.028774676450007277,0.01091764637324015,2.63561169379289,0.008398577988550844,0.007376089558456582,0.05017326334155797,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
8,weight_importance_high,-0.02180522095467855,0.005918672215950153,-3.6841406584260477,0.00022947550318159037,-0.03340581849794085,-0.010204623411416251,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
9,thin_over_fat_identification,-0.026542465280426884,0.005317417967480309,-4.99160785229832,5.987873155684181e-07,-0.036964604496688286,-0.01612032606416548,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
10,age_centered,-0.0003449188660688575,0.0012388895218069568,-0.27840970481837896,0.7806978705338339,-0.002773142328810493,0.0020833045966727774,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
11,year_centered,0.0011374199000025252,0.003076162980638465,0.3697528080148897,0.71156668073724,-0.004891859542048866,0.007166699342053917,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
12,sex_male,-0.02101138836124816,0.019768899964320498,-1.0628506593270308,0.2878496816351512,-0.05975843229131633,0.01773565556882002,2764,0.021248373284264654,0.01876242938476891,IAT predicted by control beliefs and identity
13,Intercept,-0.6731933383294291,0.2230167184451866,-3.0185779031399727,0.0025396409754369154,-1.1103061064819948,-0.2360805701768633,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
14,iat_d2,0.4849226125247882,0.10647606680454337,4.554287428882529,5.256344593422197e-06,0.27622952158788316,0.6936157034616932,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
15,controlother,-0.09892126721689626,0.07082723935207905,-1.396655695207363,0.16251713327050016,-0.2377426563469712,0.03990012191317868,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
16,age_centered,-0.01686287182797877,0.006982203026134163,-2.4151219557583157,0.01572994191877869,-0.030547989759201727,-0.003177753896755812,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
17,year_centered,0.035930733506938387,0.01751524988532079,2.05139713918962,0.040228287432736556,0.001600843731709642,0.07026062328216713,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
18,sex_male,0.9323850652156439,0.10960098085930518,8.50708687007598,1.7835790094243475e-17,0.7175671427314058,1.147202987699882,4851,0.02075658461528629,0.01974601349517824,Explicit attitude predicted by IAT and control belief
