year,bertopic_topic,topic_label,n,mean_compound,negative_ratio,positive_ratio
2025,0,international_security_north_china_russia,247,0.014505668016194333,0.4048582995951417,0.4574898785425101
2026,0,international_security_north_china_russia,269,0.03420334572490706,0.4200743494423792,0.4944237918215613
2025,1,yoon_martial_law_legal_investigation,275,-0.006792363636363637,0.43636363636363634,0.4690909090909091
2026,1,yoon_martial_law_legal_investigation,55,-0.08781454545454545,0.4727272727272727,0.36363636363636365
2025,3,middle_east_conflict_gaza,15,-0.15683333333333332,0.5333333333333333,0.4
2026,3,middle_east_conflict_gaza,243,-0.32098353909465016,0.6502057613168725,0.2139917695473251
2025,4,lee_jae_myung_electoral_politics,165,0.08687515151515152,0.37575757575757573,0.48484848484848486
2026,4,lee_jae_myung_electoral_politics,53,-0.014345283018867925,0.4528301886792453,0.41509433962264153
2025,5,japan_nationalism_historical_politics,80,0.10096374999999999,0.4,0.5
2026,5,japan_nationalism_historical_politics,134,-0.0302589552238806,0.47761194029850745,0.4626865671641791
2025,8,election_voting_candidates,122,0.2027827868852459,0.2540983606557377,0.5983606557377049
2026,8,election_voting_candidates,27,0.18748888888888887,0.2222222222222222,0.5925925925925926
2025,11,courts_trials_judiciary,125,0.050703200000000004,0.424,0.496
2026,11,courts_trials_judiciary,17,-0.3082235294117647,0.7058823529411765,0.23529411764705882
2025,12,gender_military_service,96,-0.08825625,0.4791666666666667,0.4375
2026,12,gender_military_service,45,-0.03551555555555555,0.4222222222222222,0.4
2025,14,language_identity_politics,6,0.4898833333333334,0.0,0.8333333333333334
2026,14,language_identity_politics,126,0.19233650793650794,0.2698412698412698,0.6031746031746031
2025,22,housing_economy_policy,70,0.23050428571428572,0.2571428571428571,0.6142857142857143
2026,22,housing_economy_policy,19,-0.002615789473684203,0.47368421052631576,0.3157894736842105
2025,23,democracy_dictatorship_discourse,59,0.3239220338983051,0.2033898305084746,0.6779661016949152
2026,23,democracy_dictatorship_discourse,27,0.11723703703703704,0.4074074074074074,0.5555555555555556
2025,25,diaspora_overseas_korean_identity,35,-0.17326285714285714,0.5428571428571428,0.4
2026,25,diaspora_overseas_korean_identity,41,-0.02771707317073171,0.4878048780487805,0.4634146341463415
