bertopic_topic,topic_label,year,n,year_total,ratio
0,international_security_north_china_russia,2025,247,4805,0.051404786680541104
0,international_security_north_china_russia,2026,269,3330,0.08078078078078078
1,yoon_martial_law_legal_investigation,2025,275,4805,0.05723204994797086
1,yoon_martial_law_legal_investigation,2026,55,3330,0.016516516516516516
3,middle_east_conflict_gaza,2025,15,4805,0.003121748178980229
3,middle_east_conflict_gaza,2026,243,3330,0.07297297297297298
4,lee_jae_myung_electoral_politics,2025,165,4805,0.03433922996878252
4,lee_jae_myung_electoral_politics,2026,53,3330,0.015915915915915915
5,japan_nationalism_historical_politics,2025,80,4805,0.01664932362122789
5,japan_nationalism_historical_politics,2026,134,3330,0.04024024024024024
8,election_voting_candidates,2025,122,4805,0.02539021852237253
8,election_voting_candidates,2026,27,3330,0.008108108108108109
11,courts_trials_judiciary,2025,125,4805,0.026014568158168574
11,courts_trials_judiciary,2026,17,3330,0.005105105105105105
12,gender_military_service,2025,96,4805,0.019979188345473464
12,gender_military_service,2026,45,3330,0.013513513513513514
14,language_identity_politics,2025,6,4805,0.0012486992715920915
14,language_identity_politics,2026,126,3330,0.03783783783783784
22,housing_economy_policy,2025,70,4805,0.014568158168574402
22,housing_economy_policy,2026,19,3330,0.005705705705705706
23,democracy_dictatorship_discourse,2025,59,4805,0.012278876170655567
23,democracy_dictatorship_discourse,2026,27,3330,0.008108108108108109
25,diaspora_overseas_korean_identity,2025,35,4805,0.007284079084287201
25,diaspora_overseas_korean_identity,2026,41,3330,0.012312312312312312
