bertopic_topic,topic_label,n_2025,n_2026,ratio_2025,ratio_2026
0,international_security_north_china_russia,247.0,269.0,0.051404786680541104,0.08078078078078078
1,yoon_martial_law_legal_investigation,275.0,55.0,0.05723204994797086,0.016516516516516516
3,middle_east_conflict_gaza,15.0,243.0,0.003121748178980229,0.07297297297297298
4,lee_jae_myung_electoral_politics,165.0,53.0,0.03433922996878252,0.015915915915915915
5,japan_nationalism_historical_politics,80.0,134.0,0.01664932362122789,0.04024024024024024
8,election_voting_candidates,122.0,27.0,0.02539021852237253,0.008108108108108109
11,courts_trials_judiciary,125.0,17.0,0.026014568158168574,0.005105105105105105
12,gender_military_service,96.0,45.0,0.019979188345473464,0.013513513513513514
14,language_identity_politics,6.0,126.0,0.0012486992715920915,0.03783783783783784
22,housing_economy_policy,70.0,19.0,0.014568158168574402,0.005705705705705706
23,democracy_dictatorship_discourse,59.0,27.0,0.012278876170655567,0.008108108108108109
25,diaspora_overseas_korean_identity,35.0,41.0,0.007284079084287201,0.012312312312312312
