topic,count,top_words,manual_label
-1,2913,,outlier
0,516,"china, south, north, nuclear, military, war, sk, russia, chinese, nk",
1,330,"yoon, law, president, prosecutors, yeol, martial, martial law, suk yeol, yoon suk, suk",
2,323,"thank, thanks, yeah, downvoted, oh, lmao, lol, context, question, ve",
3,258,"israel, holocaust, hamas, gaza, israeli, palestinians, genocide, idf, world, jews",
4,218,"lee, jae, son, lee jae, myung, jae myung, seok, party, lee jun, jun seok",
5,214,"japanese, japan, wing, anti, pro, political, colonial, conservative, nationalism, war",
6,194,"ljm, ljs, ppp, yoon, election, dpk, support, party, lny, kms",
7,190,"karina, rose, red, government, wearing, number, air force, aid, political, gaza",
8,149,"vote, election, party, candidates, votes, parties, candidate, voting, voted, democratic",
9,143,"maga, protest, cult, christian, rally, trump, american, protests, hats, freedom",
10,143,"prison, turtle, cell, colour, hell, photos, dude, window, sure, nah",
11,142,"court, supreme, supreme court, trial, judges, verdict, law, case, ruling, constitutional court",
12,141,"women, men, gender, ministry, young men, equality, young, conscription, gender equality, woman",
13,134,"ppp, party, dp, dpk, election, local, vote, party ppp, local rep, parties",
14,132,"hanja, words, chinese, language, hangul, latin, characters, writing, literacy, english",
15,115,"samsung, google, amazon, companies, data, twitch, pay, sk, network, memory",
16,115,"translation, names, english, seo, translated, jae, news, ai, sounding, la",
17,101,"stupid, politics, dumb, political, tired, world, brainwashed, quality, delete, sense",
18,95,"birth, women, rights, rate, marriage, fertility, rates, civilization, children, birth rate",
19,95,"conservative, wing, liberal, far, values, centrist, conservatives, leaning, extremism, incel",
20,91,"videos, video, content, youtube, asia, channels, media, kurzgesagt, country, social media",
21,91,"sejong, city, seoul, rail, moving, built, blue house, daejeon, london, cities",
22,89,"housing, wealth, inflation, tax, prices, supply, construction, money, estate, real estate",
23,86,"democracy, south, saved, president, dictatorship, country, moment, political, strong, remember",
24,82,"jail, treason, prison, penalty, death penalty, innocent, death, treasonous, presidents, president",
25,76,"diaspora, culture, country, overseas, abroad, mainland, feel, society, consider, history",
26,76,"young, base, thinks, misogynistic, arms, policies, capable, competent, race, responsibility",
27,75,"ppp, yoon, party, rhee park, school, dpk, yoon ppp, park, myeong, rhee",
28,75,"starbucks, shinsegae, coffee, tank, ceo, company, tumblers, gwangju, drink, drinks",
29,74,"park, chun, chung hee, park chung, hee, chung, doo hwan, doo, hwan, chun doo",
30,72,"israel, palestine, south, palestinians, israeli, nation, nations, speaks, genocide, president",
31,70,"ai, data, tech, internet, money, jae myung, lee, lee jae, tool, myung",
32,68,"search, questions, rules, community, specific, compose, google search, explore, having trouble, common questions",
33,67,"america, country, americans, american, wish, movies, come, trips, extremes, adventure",
34,60,"democracy, dictatorship, decisive, wars, dictator, usa, countries, americans, manifest, purpose making",
35,57,"iran, iranian, ship, strait, iranians, hormuz, regime, attack, israel, ships",
36,54,"election, president, vote, candidate, 00, unpopular, trump, bet, presidential, elections",
37,54,"queer, gay, homosexuality, lgbt, education, rights, festival, human rights, discrimination, human",
38,54,"moon, kim, dogs, kim moon, moon soo, soo, moonsoo, yoon administration, housing, statistics",
39,52,"south, politics, corruption, nkorea, tested, history, president, factory, society, incels",
40,51,"students, university, international students, international, harvard, education, immigration status, immigration, student, universities",
